race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1065,Marika WAGNER,SE,38,F,35-39W,Gudö SK,https://utmb.world/runner/6152358.marika.wagner,583.0,28.0,7.0,3.0,11:38:29,41909.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1094,Susie MOONAN,SE,38,F,35-39W,Gudö SK,https://utmb.world/runner/5505431.susie.moonan,552.0,28.0,7.0,3.0,11:38:29,41909.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,134,Kirsi VEHVILÄINEN,FI,40,F,40-44W,Puijon Mahti,https://utmb.world/runner/1390945.kirsi.vehvilainen,550.0,29.0,7.0,2.0,21:51:59,78719.0,True,f,581.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,126,Tobias ANDREASSON,SE,39,H,35-39M,SPIS,https://utmb.world/runner/5743847.tobias.andreasson,557.0,30.0,23.0,5.0,21:56:05,78965.0,True,f,579.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1092,Peter SCHALIN,SE,51,H,50-54M,,https://utmb.world/runner/1242699.peter.schalin,553.0,30.0,22.0,1.0,11:43:02,42182.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,131,Sten ORSVÄRN,SE,63,H,60-64M,Stockholms LDK,https://utmb.world/runner/37082.sten.orsvarn,552.0,31.0,24.0,1.0,21:57:41,79061.0,True,f,578.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1089,Johannes BHY,SE,39,H,35-39M,The Cupcake Cartel,https://utmb.world/runner/2292403.johannes.bhy,558.0,31.0,23.0,3.0,11:43:59,42239.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,688,Richard NYLÉN,SE,42,H,40-44M,SPIS,https://utmb.world/runner/5743853.richard.nylen,,32.0,25.0,8.0,22:11:12,79872.0,True,f,572.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1023,Anna Louise Astad SØRLIE,NO,32,F,20-34W,Heming IL,https://utmb.world/runner/4212316.annalouiseastad.sorlie,665.0,32.0,9.0,3.0,11:44:23,42263.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,73,Petter REPSJØ,NO,39,H,35-39M,Bamford1869,https://utmb.world/runner/4568146.petter.repsjo,597.0,33.0,26.0,6.0,22:16:10,80170.0,True,f,570.0
